Date,Price,Open,High,Low,Vol.,Change %
2019-12-06,0.00695,0.006869,0.006997,0.006517,1.86B,1.12%
2019-12-07,0.006805,0.006951,0.007271,0.0068,1.23B,-2.09%
2019-12-08,0.007127,0.006802,0.0073,0.006641,1.43B,4.73%
2019-12-09,0.00683,0.007127,0.00737,0.006766,1.13B,-4.17%
2019-12-10,0.006216,0.006829,0.006849,0.005941,1.95B,-8.99%
2019-12-11,0.006069,0.006213,0.006383,0.00603,916.51M,-2.36%
2019-12-12,0.006214,0.00608,0.006314,0.005796,1.06B,2.39%
2019-12-13,0.005894,0.006211,0.006682,0.005698,2.41B,-5.15%
2019-12-14,0.005451,0.005887,0.005955,0.00534,1.25B,-7.52%
2019-12-15,0.005569,0.005452,0.005683,0.00523,1.03B,2.16%
2019-12-16,0.005044,0.005571,0.005597,0.004987,814.40M,-9.43%
2019-12-17,0.004626,0.005034,0.005083,0.004551,1.32B,-8.29%
2019-12-18,0.00531,0.004644,0.005387,0.004459,1.79B,14.79%
2019-12-19,0.00505,0.005309,0.005375,0.004898,767.22M,-4.90%
2019-12-20,0.005395,0.005047,0.005554,0.004972,1.08B,6.83%
2019-12-21,0.005316,0.005396,0.005547,0.005275,528.02M,-1.46%
2019-12-22,0.005514,0.005317,0.005623,0.005286,694.71M,3.72%
2019-12-23,0.005922,0.005514,0.006148,0.005459,1.47B,7.40%
2019-12-24,0.005974,0.005919,0.006265,0.005788,1.58B,0.88%
2019-12-25,0.005848,0.005976,0.006076,0.005783,759.72M,-2.11%
2019-12-26,0.005485,0.005848,0.005848,0.00543,1.09B,-6.21%
2019-12-27,0.005665,0.005483,0.005767,0.005326,826.17M,3.28%
2019-12-28,0.005666,0.005666,0.005772,0.005552,585.29M,0.02%
2019-12-29,0.005572,0.005672,0.005843,0.005565,779.45M,-1.66%
2019-12-30,0.005425,0.005564,0.00564,0.005421,547.49M,-2.64%
2019-12-31,0.005242,0.005418,0.005444,0.00516,489.90M,-3.37%
2020-01-01,0.005358,0.005245,0.005496,0.00523,453.37M,2.21%
2020-01-02,0.005094,0.005358,0.005405,0.005072,417.08M,-4.93%
